,Latitude,Longitude,Preds
4449,41.686398,-87.531635,1
4450,41.686398,-87.531635,1
4451,41.686398,-87.531635,1
4452,41.686398,-87.531635,1
4453,41.686398,-87.531635,1
4454,41.686398,-87.531635,1
4455,41.686398,-87.531635,1
4456,41.686398,-87.531635,1
6869,41.686398,-87.531635,1
6870,41.686398,-87.531635,1
6871,41.686398,-87.531635,1
6872,41.686398,-87.531635,1
6873,41.686398,-87.531635,1
6874,41.686398,-87.531635,1
6875,41.686398,-87.531635,1
6876,41.686398,-87.531635,1
7382,42.01743,-87.68776899999999,1
7383,42.01743,-87.68776899999999,1
7384,42.01743,-87.68776899999999,1
7385,42.01743,-87.68776899999999,1
7386,42.01743,-87.68776899999999,1
7387,42.01743,-87.68776899999999,1
7388,42.01743,-87.68776899999999,1
7389,42.01743,-87.68776899999999,1
7422,42.011601,-87.81150600000001,1
7423,42.011601,-87.81150600000001,1
7424,42.011601,-87.81150600000001,1
7425,42.011601,-87.81150600000001,1
7426,42.011601,-87.81150600000001,1
7427,42.011601,-87.81150600000001,1
7428,42.011601,-87.81150600000001,1
7429,42.011601,-87.81150600000001,1
7590,41.725516999999996,-87.61425799999999,1
7591,41.725516999999996,-87.61425799999999,1
7592,41.725516999999996,-87.61425799999999,1
7593,41.725516999999996,-87.61425799999999,1
7594,41.725516999999996,-87.61425799999999,1
7595,41.725516999999996,-87.61425799999999,1
7596,41.725516999999996,-87.61425799999999,1
7597,41.725516999999996,-87.61425799999999,1
8078,41.686398,-87.531635,1
8079,41.686398,-87.531635,1
8080,41.686398,-87.531635,1
8081,41.686398,-87.531635,1
8082,41.686398,-87.531635,1
8083,41.686398,-87.531635,1
8084,41.686398,-87.531635,1
8085,41.686398,-87.531635,1
8134,41.717753,-87.531657,1
8135,41.717753,-87.531657,1
8136,41.717753,-87.531657,1
8137,41.717753,-87.531657,1
8138,41.717753,-87.531657,1
8139,41.717753,-87.531657,1
8140,41.717753,-87.531657,1
8141,41.717753,-87.531657,1
8599,42.01743,-87.68776899999999,1
8600,42.01743,-87.68776899999999,1
8601,42.01743,-87.68776899999999,1
8602,42.01743,-87.68776899999999,1
8603,42.01743,-87.68776899999999,1
8604,42.01743,-87.68776899999999,1
8605,42.01743,-87.68776899999999,1
8606,42.01743,-87.68776899999999,1
8639,42.011601,-87.81150600000001,1
8640,42.011601,-87.81150600000001,1
8641,42.011601,-87.81150600000001,1
8642,42.011601,-87.81150600000001,1
8643,42.011601,-87.81150600000001,1
8644,42.011601,-87.81150600000001,1
8645,42.011601,-87.81150600000001,1
8646,42.011601,-87.81150600000001,1
8807,41.725516999999996,-87.61425799999999,1
8808,41.725516999999996,-87.61425799999999,1
8809,41.725516999999996,-87.61425799999999,1
8810,41.725516999999996,-87.61425799999999,1
8811,41.725516999999996,-87.61425799999999,1
8812,41.725516999999996,-87.61425799999999,1
8813,41.725516999999996,-87.61425799999999,1
8814,41.725516999999996,-87.61425799999999,1
