,Trap,Latitude,Longitude,cluster
0,T002,41.95469,-87.800991,2
2,T007,41.994991,-87.769279,1
3,T015,41.974089,-87.824812,1
5,T045,41.9216,-87.666455,0
6,T046,41.891118,-87.65449100000001,0
7,T048,41.867108,-87.654224,0
9,T049,41.896282,-87.655232,0
10,T050,41.919343,-87.694259,4
11,T054,41.921965,-87.632085,0
13,T086,41.688324,-87.676709,0
15,T091,41.862292,-87.64886,0
16,T094,41.720848,-87.666014,7
17,T096,41.731922,-87.677512,7
19,T129,41.891126,-87.61156,0
21,T143,41.999128999999996,-87.795585,1
22,T148,42.01743,-87.68776899999999,3
23,T153,41.907645,-87.760886,2
24,T159,41.732984,-87.649642,7
50,T009,41.981964000000005,-87.812827,1
51,T011,41.944869,-87.832763,0
52,T016,42.011601,-87.81150600000001,1
53,T019,41.94983,-87.69845699999999,4
54,T025,41.979243,-87.750938,0
55,T028,41.986921,-87.689778,3
56,T031,41.801497999999995,-87.763416,0
57,T033,41.906638,-87.701431,5
58,T089,41.723195000000004,-87.64997,7
59,T090,41.868077,-87.666901,0
61,T092,41.869215999999994,-87.627561,0
62,T135,41.662014,-87.72460799999999,0
65,T141,41.961743,-87.76007,0
67,T142,41.953067,-87.776792,2
69,T145,41.878114000000004,-87.629798,0
70,T146,41.958271,-87.702575,4
72,T147,41.932094,-87.700117,4
73,T149,41.994469,-87.667736,3
74,T150,42.006858,-87.675919,3
75,T151,41.916265,-87.800515,2
77,T152,41.846075,-87.716277,5
78,T154,41.918704999999996,-87.752329,2
79,T158,41.682587,-87.707973,0
81,T162,41.725516999999996,-87.61425799999999,8
82,T218,41.948167,-87.730698,4
84,T220,41.963976,-87.69181,3
136,T001,41.953705,-87.733974,4
137,T003,41.964242,-87.757639,0
138,T006,41.990284,-87.797127,1
140,T008,42.008314,-87.77792099999999,1
141,T012,41.991429,-87.747113,0
142,T034,41.843810999999995,-87.686763,0
143,T037,41.921177,-87.79518,2
144,T040,41.852652,-87.719887,5
146,T043,41.857402,-87.694991,5
147,T047,41.868142,-87.696269,5
149,T051,41.846283,-87.656913,0
150,T085,41.721474,-87.648064,7
151,T088,41.869107,-87.69629300000001,5
152,T161,41.719059,-87.675088,7
154,T219,41.966986999999996,-87.674677,3
192,T013,41.923738,-87.785288,2
193,T014,41.970248,-87.787992,1
194,T018,42.010412,-87.66214000000001,3
195,T030,41.899229999999996,-87.716788,5
197,T084,41.692555,-87.598865,0
199,T144,41.94016,-87.794896,2
200,T160,41.903002,-87.68826700000001,5
270,T005,41.942114000000004,-87.776385,2
271,T017,41.960615999999995,-87.777189,2
272,T044,41.883284,-87.705085,5
274,T095,41.704336,-87.70373599999999,0
388,T004,41.962728000000006,-87.748367,0
389,T035,41.836644,-87.677737,0
390,T036,41.837084999999995,-87.729384,0
391,T039,41.911823999999996,-87.726737,5
392,T060,41.823065,-87.67837800000001,0
394,T061,41.801179,-87.679447,0
396,T062,41.800737,-87.71188000000001,6
397,T065,41.778296999999995,-87.752411,6
400,T066,41.77166,-87.703047,6
401,T067,41.759346,-87.745602,6
402,T069,41.768388,-87.678649,6
405,T070,41.797616,-87.797894,0
406,T071,41.781416,-87.77653199999999,0
407,T073,41.773215,-87.60088,0
409,T074,41.822536,-87.66634300000001,0
410,T075,41.799282,-87.585487,0
411,T076,41.794781,-87.615989,0
412,T077,41.778748,-87.586427,0
413,T079,41.766202,-87.562889,0
415,T080,41.754676,-87.612922,8
417,T081,41.821582,-87.62779599999999,0
419,T082,41.803422999999995,-87.642984,0
422,T083,41.754292,-87.590773,8
424,T114,41.798697,-87.736812,6
426,T155,41.776156,-87.778927,0
527,T063,41.82561,-87.726549,0
529,T115,41.673408,-87.599862,0
530,T138,41.726465000000005,-87.585413,8
535,T200,41.678618,-87.559308,0
541,T206,41.737052,-87.54306700000001,0
544,T209,41.740641,-87.546587,0
547,T212,41.680946,-87.535198,0
552,T215,41.686398,-87.531635,0
685,T107,41.729669,-87.582699,8
687,T128,41.704572,-87.56566600000001,0
774,T072,41.74785,-87.70271600000001,6
1285,T078,41.775051,-87.65535600000001,0
1288,T097,41.644612,-87.60449799999999,0
1290,T099,41.733643,-87.55551,0
1294,T100,41.717753,-87.531657,0
1298,T102,41.750498,-87.605294,8
1303,T103,41.702723999999996,-87.536497,0
1317,T027,41.984809000000006,-87.728492,0
1320,T156,41.772846,-87.740029,6
1325,T157,41.825902,-87.667827,0
2184,T221,41.659112,-87.53869300000001,0
3868,T900,41.974689,-87.890615,0
3975,T903,41.957799,-87.930995,0
4880,T222,41.925197999999995,-87.746381,2
4883,T223,41.973845000000004,-87.805059,1
4884,T225,41.743402,-87.731435,6
4887,T227,41.728495,-87.60096300000001,8
4978,T224,41.947227000000005,-87.67145699999999,0
4979,T226,41.793818,-87.654234,0
5330,T229,41.753411,-87.63981700000001,7
5333,T230,41.904194,-87.756155,2
5521,T228,41.951865999999995,-87.72505699999999,4
6120,T232,41.912563,-87.66805500000001,0
6225,T231,41.98728,-87.666066,3
6228,T235,41.776428,-87.627096,0
7343,T233,42.009876,-87.807277,1
7466,T236,41.994679,-87.770899,1
7635,T237,41.738903,-87.69544300000001,0
7821,T238,41.753391,-87.707394,6
8667,T094B,41.71914,-87.669539,7
9552,T054C,41.925652,-87.63359,0
