,Species,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,Datetime,yr,mo,day
0,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,0,2007-05-29,2007,5,29
1,CULEX RESTUANS,T002,41.95469,-87.800991,1,0,2007-05-29,2007,5,29
2,CULEX RESTUANS,T007,41.994991,-87.769279,1,0,2007-05-29,2007,5,29
3,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,0,2007-05-29,2007,5,29
4,CULEX RESTUANS,T015,41.974089,-87.824812,4,0,2007-05-29,2007,5,29
5,CULEX RESTUANS,T045,41.9216,-87.666455,2,0,2007-05-29,2007,5,29
6,CULEX RESTUANS,T046,41.891118,-87.65449100000001,1,0,2007-05-29,2007,5,29
7,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,1,0,2007-05-29,2007,5,29
8,CULEX RESTUANS,T048,41.867108,-87.654224,2,0,2007-05-29,2007,5,29
9,CULEX RESTUANS,T049,41.896282,-87.655232,1,0,2007-05-29,2007,5,29
10,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,1,0,2007-05-29,2007,5,29
11,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,2,0,2007-05-29,2007,5,29
12,CULEX RESTUANS,T054,41.921965,-87.632085,3,0,2007-05-29,2007,5,29
13,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,1,0,2007-05-29,2007,5,29
14,CULEX RESTUANS,T086,41.688324,-87.676709,1,0,2007-05-29,2007,5,29
15,CULEX RESTUANS,T091,41.862292,-87.64886,1,0,2007-05-29,2007,5,29
16,CULEX RESTUANS,T094,41.720848,-87.666014,3,0,2007-05-29,2007,5,29
17,CULEX RESTUANS,T096,41.731922,-87.677512,5,0,2007-05-29,2007,5,29
18,CULEX PIPIENS,T096,41.731922,-87.677512,1,0,2007-05-29,2007,5,29
19,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,1,0,2007-05-29,2007,5,29
20,CULEX RESTUANS,T129,41.891126,-87.61156,2,0,2007-05-29,2007,5,29
21,CULEX PIPIENS/RESTUANS,T143,41.999128999999996,-87.795585,1,0,2007-05-29,2007,5,29
22,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.68776899999999,1,0,2007-05-29,2007,5,29
23,CULEX RESTUANS,T153,41.907645,-87.760886,1,0,2007-05-29,2007,5,29
24,CULEX RESTUANS,T159,41.732984,-87.649642,1,0,2007-05-29,2007,5,29
25,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,3,0,2007-06-05,2007,6,5
26,CULEX RESTUANS,T002,41.95469,-87.800991,5,0,2007-06-05,2007,6,5
27,CULEX PIPIENS,T002,41.95469,-87.800991,1,0,2007-06-05,2007,6,5
28,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,0,2007-06-05,2007,6,5
29,CULEX RESTUANS,T015,41.974089,-87.824812,2,0,2007-06-05,2007,6,5
30,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,1,0,2007-06-05,2007,6,5
31,CULEX RESTUANS,T045,41.9216,-87.666455,2,0,2007-06-05,2007,6,5
32,CULEX PIPIENS,T045,41.9216,-87.666455,1,0,2007-06-05,2007,6,5
33,CULEX RESTUANS,T046,41.891118,-87.65449100000001,1,0,2007-06-05,2007,6,5
34,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,1,0,2007-06-05,2007,6,5
35,CULEX RESTUANS,T048,41.867108,-87.654224,1,0,2007-06-05,2007,6,5
36,CULEX PIPIENS,T048,41.867108,-87.654224,2,0,2007-06-05,2007,6,5
37,CULEX RESTUANS,T049,41.896282,-87.655232,2,0,2007-06-05,2007,6,5
38,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,1,0,2007-06-05,2007,6,5
39,CULEX RESTUANS,T050,41.919343,-87.694259,1,0,2007-06-05,2007,6,5
40,CULEX RESTUANS,T054,41.921965,-87.632085,3,0,2007-06-05,2007,6,5
41,CULEX RESTUANS,T086,41.688324,-87.676709,4,0,2007-06-05,2007,6,5
42,CULEX PIPIENS/RESTUANS,T094,41.720848,-87.666014,2,0,2007-06-05,2007,6,5
43,CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,1,0,2007-06-05,2007,6,5
44,CULEX RESTUANS,T096,41.731922,-87.677512,1,0,2007-06-05,2007,6,5
45,CULEX PIPIENS,T096,41.731922,-87.677512,1,0,2007-06-05,2007,6,5
46,CULEX PIPIENS/RESTUANS,T143,41.999128999999996,-87.795585,2,0,2007-06-05,2007,6,5
47,CULEX RESTUANS,T143,41.999128999999996,-87.795585,9,0,2007-06-05,2007,6,5
48,CULEX RESTUANS,T153,41.907645,-87.760886,3,0,2007-06-05,2007,6,5
49,CULEX RESTUANS,T159,41.732984,-87.649642,1,0,2007-06-05,2007,6,5
50,CULEX RESTUANS,T009,41.981964000000005,-87.812827,2,0,2007-06-05,2007,6,5
51,CULEX RESTUANS,T011,41.944869,-87.832763,1,0,2007-06-05,2007,6,5
52,CULEX RESTUANS,T016,42.011601,-87.81150600000001,1,0,2007-06-05,2007,6,5
53,CULEX RESTUANS,T019,41.94983,-87.69845699999999,1,0,2007-06-05,2007,6,5
54,CULEX RESTUANS,T025,41.979243,-87.750938,1,0,2007-06-05,2007,6,5
55,CULEX RESTUANS,T028,41.986921,-87.689778,2,0,2007-06-05,2007,6,5
56,CULEX PIPIENS/RESTUANS,T031,41.801497999999995,-87.763416,1,0,2007-06-05,2007,6,5
57,CULEX RESTUANS,T033,41.906638,-87.701431,3,0,2007-06-05,2007,6,5
58,CULEX RESTUANS,T089,41.723195000000004,-87.64997,1,0,2007-06-05,2007,6,5
59,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,1,0,2007-06-05,2007,6,5
60,CULEX RESTUANS,T090,41.868077,-87.666901,7,0,2007-06-05,2007,6,5
61,CULEX PIPIENS/RESTUANS,T092,41.869215999999994,-87.627561,1,0,2007-06-05,2007,6,5
62,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.72460799999999,2,0,2007-06-05,2007,6,5
63,CULEX RESTUANS,T135,41.662014,-87.72460799999999,4,0,2007-06-05,2007,6,5
64,CULEX PIPIENS,T135,41.662014,-87.72460799999999,1,0,2007-06-05,2007,6,5
65,CULEX PIPIENS/RESTUANS,T141,41.961743,-87.76007,1,0,2007-06-05,2007,6,5
