,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Datetime,yr,mo,day
0,1,83,50,67,14,51,56,0.0,0.00,29.10,29.82,1.7,27,9.2,2007-05-01,2007,5,1
2,1,59,42,51,-3,42,47,0.0,0.00,29.38,30.09,13.0,4,13.4,2007-05-02,2007,5,2
4,1,66,46,56, 2,40,48,0.0,0.00,29.39,30.12,11.7,7,11.9,2007-05-03,2007,5,3
6,1,66,49,58, 4,41,50,0.0,  T,29.31,30.05,10.4,8,10.8,2007-05-04,2007,5,4
8,1,66,53,60, 5,38,49,0.0,  T,29.40,30.10,11.7,7,12.0,2007-05-05,2007,5,5
10,1,68,49,59, 4,30,46,0.0,0.00,29.57,30.29,14.4,11,15.0,2007-05-06,2007,5,6
12,1,83,47,65,10,41,54,0.0,  T,29.38,30.12,8.6,18,10.5,2007-05-07,2007,5,7
14,1,82,54,68,12,58,62,0.0,0.00,29.29,30.03,2.7,11,5.8,2007-05-08,2007,5,8
16,1,77,61,69,13,59,63,0.0,0.13,29.21,29.94,3.9,9,6.2,2007-05-09,2007,5,9
18,1,84,56,70,14,52,60,0.0,0.00,29.20,29.92,0.7,17,4.1,2007-05-10,2007,5,10
20,1,70,51,61, 4,42,51,0.0,0.00,29.33,30.04,11.3,3,12.9,2007-05-11,2007,5,11
22,1,64,46,55,-2,36,46,0.0,0.00,29.49,30.20,12.4,3,12.9,2007-05-12,2007,5,12
24,1,69,43,56,-2,33,46,0.0,0.00,29.49,30.24,6.6,14,8.1,2007-05-13,2007,5,13
26,1,90,56,73,15,47,59,0.0,0.00,29.23,29.97,16.9,21,17.3,2007-05-14,2007,5,14
28,1,80,57,69,11,56,61,0.0,0.38,29.13,29.84,8.1,27,12.3,2007-05-15,2007,5,15
30,1,66,44,55,-4,43,48,0.0,0.14,29.33,30.03,7.8,36,12.2,2007-05-16,2007,5,16
32,1,62,43,53,-6,32,43,0.0,0.00,29.55,30.27,10.5,3,11.3,2007-05-17,2007,5,17
34,1,71,42,57,-3,30,46,0.0,0.00,29.53,30.25,5.4,25,7.5,2007-05-18,2007,5,18
36,1,80,56,68, 8,39,53,0.0,0.00,29.34,30.08,11.1,24,11.4,2007-05-19,2007,5,19
38,1,69,43,56,-5,40,44,0.0,0.07,29.38,30.11,10.4,4,10.7,2007-05-20,2007,5,20
40,1,80,44,62, 1,50,56,0.0,0.00,29.33,30.06,6.3,11,8.2,2007-05-21,2007,5,21
